	MHCI	MHCII	Coactivation_molecules	Effector_cells	T_cell_traffic	NK_cells	T_cells	B_cells	M1_signatures	Th1_signature	Antitumor_cytokines	Checkpoint_inhibition	Treg	T_reg_traffic	Neutrophil_signature	Granulocyte_traffic	MDSC	MDSC_traffic	Macrophages	Macrophage_DC_traffic	Th2_signature	Protumor_cytokines	CAF	Matrix	Matrix_remodeling	Angiogenesis	Endothelium	Proliferation_rate	EMT_signature
S1417747	1.4145352618005698	-0.6255278947564725	2.0	-0.04579212986822942	-0.3101130861819683	0.8953714100777431	-0.9472180312609421	-0.6508142246534951	0.7310411071871015	1.399881676004182	1.1332578378019518	0.12343285512780452	-1.255936696346137	0.2801649310203005	0.4590780445622574	0.05373040155592666	1.0894063653728987	-0.9595914583242467	-1.3134417165837096	2.0	0.6904544240485887	-0.6045870762452789	1.2003293965381454	-0.18360359371474558	1.6098765732656042	0.502470729642957	0.03125363998417422	-0.6183686433331895	0.8458710306691538
S1449640	0.000402197812448685	0.306501815914681	-2.0	0.2064249772571099	0.3363929726018095	0.07653514813963508	-1.6821844335978884	-1.9182730449530658	-0.3477563323412394	-0.5348020927954955	-0.025769346292783747	0.5118267255076383	-0.04651353744019641	1.7345189480684007	0.019772267958090218	0.893766030928358	-0.6751132574455171	0.03494537291994917	-0.5358228898476037	0.5318377621656664	-0.5004054506127018	-0.16468235872039064	0.8821727167412764	0.347016653011927	-0.6435630836331144	0.5366443117058414	-0.02478093088567422	-0.7447188189022721	-0.5904005278429979
S1508145	0.24752777095848114	0.31376612190064856	-0.7449063771994939	-0.6342292604116108	-0.34258619892870196	-0.7098398213455177	-1.5134874525007713	-1.4460813243377644	-1.044532139011395	-0.3400223593471617	-1.16180698132792	-1.2412985493890303	-2.0	-0.9187119876874678	-1.086028411964854	-0.8736040098219762	0.17880813544419238	0.11017565368143756	0.137961396223754	0.4565173028943315	-0.8938306907108375	0.8584249786823739	1.925384809043883	1.5364575159745968	0.9982135291148065	1.1606545738260867	0.553898499361986	0.637436935540628	2.0
S1533309	0.8784606979021795	1.3978271721825886	-0.010702624098754592	-1.0386889008122622	0.660401460100176	-1.4083266144664013	-0.8482564919495785	-1.0607872246348131	0.11826461727797925	-0.14705443806141147	-0.17099153093901387	-0.44492663932224835	-1.120143388766248	0.36547770075925434	-0.6452935233122342	-0.4575369221755491	0.2034707444722765	-0.20084099229454402	-0.3071048552385028	-0.4165370248353666	-0.3794719624774144	-0.2170757457957693	1.9072715400658307	1.1164724427363393	1.2514675647421132	1.661774940862871	1.755670180820357	-0.3428006195042321	0.622378846101984
S1536379	0.1452102450793028	-0.43817807795412345	-0.3202549512928717	1.5316466462547005	1.1800872153872461	0.5119936700217801	-0.06600488710821961	-0.49113884069817043	1.9755532667481768	0.5655421315176601	1.1561841450553962	1.960800458085454	2.0	-0.04431301453011105	2.0	2.0	0.43188662562622493	2.0	-0.17171605579107888	1.3825281760298735	0.11109977118507923	2.0	-0.013840745120483073	0.9324721152721859	1.1469159207568518	0.5316787388490122	0.390304221265046	-1.5591303086007	-0.16461722187349265
S1540243	-2.0	-0.5130273811226086	2.0	2.0	2.0	2.0	1.4032018938790052	1.7960060784420127	2.0	2.0	1.330958771425958	1.4699614097418852	2.0	2.0	2.0	2.0	2.0	1.7996639803069348	0.6747296188489899	2.0	2.0	1.4798003140399776	1.2379015740726778	0.09662314411623661	2.0	1.770841939427362	2.0	-2.0	2.0
S1815621	-2.0	-0.7798687637770811	-0.7458765123551412	-0.7385009669900577	-0.5783768826080209	-1.1841017561509792	-0.21626509376366865	-1.1490689335426505	-1.1382087379707035	-0.6866947026594643	-1.3330507720569145	-0.424364913919091	-0.7596350736073987	-0.41813025592892206	-1.408995205582375	-0.8359121858746528	-0.46293823288699965	-0.928308095572612	-0.20589513045189775	-0.8118059273313933	-0.8189090662570406	-0.5724454454000852	-0.43174814484261503	-0.6676305094039726	-1.0294440069113666	-0.007562239636970401	-0.08882369750562108	0.3711079310433514	0.5796805947825925
S1513268	-2.0	-1.2347953832891647	0.4833931957594284	0.15245940544523218	0.4144524887405944	0.6441901272567793	0.5804772127192956	-0.570429375296243	1.4697859243833846	-0.020407841494590254	-1.5872064598277391	0.611654655586252	1.70168646659759	0.8896851548838396	0.48653589171491374	-1.1005398442377414	0.10439646309377278	1.1779769176728028	0.2859599830471979	-0.4702003549548254	0.0077876167826116905	2.0	-0.2618185852339662	-0.9923210469649134	-0.4383672412504125	-0.2208648003717588	0.08106680331260838	-1.3638182252213837	1.0692274934521173
S1411996	-0.9543293852642589	-1.7362951062415348	0.19536300823148814	-0.1576550149410187	-0.9125254058496031	-0.2394667583337636	-1.108219655247532	0.550355421719247	0.4986495828075362	-0.0027884900841223027	-0.6119821930587228	-0.9697511375786733	-0.8611498753143318	0.12284852075421232	-0.2533863454061845	-0.54717715109588	-1.3492914361122705	-1.2288953717528803	-2.0	-1.1420294994477944	0.8055870232786101	-1.052022657441228	-1.789843983098312	-2.0	0.26808789938352007	0.1110071071735438	-1.0462542390498828	1.5366918935454494	-2.0
S1601385	-2.0	0.22988167140074112	2.0	2.0	0.8937406626301305	2.0	0.47705478499225124	0.5762453023375905	2.0	1.4646635080893369	0.6515017089124934	2.0	0.8283083796916559	2.0	1.5746023448884678	1.1987572495504635	1.1179706267287919	1.3757433993765449	1.4686581291003815	2.0	2.0	-0.009646710396002707	1.0341216696354385	0.5662744022742221	1.4150903576147205	1.6719223418076985	1.0675500339389687	-2.0	2.0
S1510148	-1.6393377305034227	-0.8646541900134285	0.3089626758809354	0.23621835526601428	-0.6296292375741319	-0.07453537752917445	-0.24315635243585393	0.308478739375299	0.06301532124059529	0.5945796235919064	0.49484652362266096	-0.05524782741163679	0.833007348296843	0.6263491012977676	0.14824131410351443	0.16714749746989527	-0.5531417382529261	-0.8950161411389014	-0.2662238432056495	-0.46907689226041505	2.0	-1.520510852669984	-0.6712719879483925	-2.0	0.16964491762438022	-1.1103554825954507	-1.0603777109364372	-2.0	-0.8557357537371566
S1605302	-0.000402197812448685	-0.36827063588852155	0.5954489072609995	-0.3687602309265868	0.7966993579374483	0.014869692723237958	-0.7135857112597173	0.20817118871089263	1.8036353810494528	0.21335389506485164	0.29892029567225936	0.08332961490459144	1.360266831469826	0.8232608287562757	0.4685686940865488	1.048120609306038	2.0	0.9158888555653187	1.439208849815237	2.0	2.0	1.5313118201291345	0.9654443993940505	1.4351783955457873	0.5850969876193686	1.4469228665693188	0.8886593391255293	0.6548886866090118	0.4569308041086042
PS_694	-0.22286847390756295	-0.3564376678610319	2.0	2.0	0.7986527242470851	1.8128815973101438	2.0	0.07372944630606715	2.0	2.0	0.7230067044968258	1.781339632228235	0.7417434807036224	2.0	1.4107087136295926	0.41112540767482025	1.101490871951525	1.4775195488379693	0.7644022133334964	1.6603658256325775	2.0	1.128517292292867	-0.2041409647202756	-0.6751497993495144	1.0224524506250117	0.5078876744011449	0.19216354836633015	-0.4286092089451492	0.5198663329508253
